pb_group, pb, ri_0, ri_1, ri_2, ri_3, ri_4, ri_5, ri_6
1, 6.20, .173, .230, .218, .213, .211, .200, .204
2, 3.66, .121, .144, .142, .140, .148, .149, .139
3, 2.82, .101, .112, .108, .108, .101, .103, .116
4, 2.33, .089, .100, .099, .096, .097, .108, .123
5, 2.00, .076, .082, .080, .088, .085, .086, .094
6, 1.76, .064, .066, .064, .058, .066, .071, .076
7, 1.58, .057, .058, .058, .056, .061, .059, .073
8, 1.43, .047, .052, .047, .049, .053, .060, .068
9, 1.31, .040, .040, .041, .044, .046, .055, .056
10, 1.22, .035, .036, .035, .040, .047, .054, .054
11, 1.13, .032, .034, .035, .040, .045, .051, .055
12, 1.05, .028, .027, .028, .032, .040, .043, .046
13, .98, .023, .023, .025, .031, .035, .037, .045
14, .94, .018, .019, .025, .029, .035, .037, .039
15, .85, .009, .008, .013, .020, .028, .033, .041
16, .79, -.001, -.001, .006, .015, .023, .024, .024
17, .72, -.011, -.015, -.005, .008, .011, .021, .022
18, .64, -.024, -.024, -.012, -.003, .008, .010, .017
19, .54, -.042, -.044, -.028, -.015, -.007, -.007, -.006
20, .39, -.068, -.070, -.041, -.028, -.020, -.017, -.014
